description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Cheese, Parmesan, dry grated, fat free",533.33,4933.33,533.33,66.67
"Cheese, Port du Salut",24.67,3955.56,277.11,304.89
"Cheese, Provolone",23.78,3900.0,284.22,295.78
"Cheese, provolone, reduced fat",38.89,3044.44,274.44,195.56
"Cheese, Swiss",16.0,4366.67,300.0,344.44
"Cheese, Swiss, reduced sodium",37.78,4155.56,315.56,304.44
"Cheese, Swiss, reduced fat",37.78,1988.89,315.56,56.67
"Cheese, Swiss, nonfat or fat free",37.78,1411.11,315.56,0.0
"Cheese, Cheddar, reduced sodium",21.22,4422.22,270.56,362.44
"Cheese, paneer",9.13,121.54,6.45,6.31
"Cheese, Mexican blend",1.55,316.81,20.83,25.23
"Cheese, Mexican blend, reduced fat",3.02,249.56,21.85,17.17
"Queso Anejo, aged Mexican cheese",3.51,282.58,16.24,22.71
Queso Asadero,31.89,3955.56,251.11,314.0
Queso Fresco,33.11,3322.22,201.0,264.67
Queso cotija,3.97,366.0,20.0,30.0
"Cheese, cottage, NFS",2.05,39.05,5.24,1.1
"Cheese, cottage, creamed, large or small curd",1.61,46.67,5.3,2.05
"Cottage cheese, farmer's",1.51,68.1,5.0,4.67
"Cheese, Ricotta",2.44,60.16,3.9,3.85
"Cheese, cottage, with fruit",2.19,32.74,4.16,0.87
"Cheese, cottage, with vegetables",2.49,34.96,4.33,0.88
"Cheese, cottage, dry curd",6.34,68.57,9.85,0.28
"Cheese, cottage, salted, dry curd",6.28,67.62,9.75,0.28
Puerto Rican white cheese,2.33,233.59,14.13,18.61
