description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Sweet potato, squash, pumpkin, chrysanthemum, or bean leaves, cooked",10.36,82.61,3.07,4.17
"Broccoli, raw",6.97,43.33,2.86,0.38
"Broccoli, cooked, from restaurant",3.88,48.12,1.59,2.91
"Broccoli, fresh, cooked, no added fat",4.2,26.45,1.72,0.23
"Broccoli, frozen, cooked, no added fat",2.88,15.14,1.67,0.06
"Broccoli, NS as to form, cooked",3.96,39.38,1.62,1.88
"Broccoli, fresh, cooked, fat added, NS as to fat type",3.96,39.38,1.62,1.88
"Broccoli, frozen, cooked, fat added, NS as to fat type",2.73,26.32,1.58,1.4
"Broccoli, fresh, cooked with oil",3.95,41.88,1.62,2.11
"Broccoli, fresh, cooked with butter or margarine",3.96,37.5,1.63,1.64
"Broccoli, frozen, cooked with oil",2.73,27.89,1.58,1.59
"Broccoli, frozen, cooked with butter or margarine",2.73,24.74,1.59,1.21
Broccoli casserole with noodles,6.94,49.12,1.57,1.66
Broccoli casserole with rice,6.62,46.49,1.81,1.54
Fried broccoli,172.38,1715.38,32.92,99.08
"Broccoli, chinese, raw",12.97,72.22,3.33,2.11
"Broccoli, Chinese, cooked",5.36,56.82,1.39,3.89
"Broccoli soup, prepared with milk, home recipe, canned or ready-to-serve",2.65,29.54,1.15,1.57
"Broccoli soup, prepared with water, home recipe, canned, or ready-to-serve",1.64,18.41,0.44,1.13
"Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve",2.62,29.29,1.14,1.56
Spinach soup,1.03,13.06,1.2,0.44
"Dark-green leafy vegetable soup with meat, Asian style",2.42,34.21,2.83,1.45
"Dark-green leafy vegetable soup, meatless, Asian style",2.88,21.68,0.69,0.88
"Carrots, raw",7.98,34.17,0.78,0.2
"Carrots, raw, salad",9.82,118.86,0.71,8.95
"Carrots, raw, salad with apples",4.77,102.92,0.49,9.33
"Carrots, cooked, from restaurant",5.92,49.38,0.58,2.86
"Carrots, fresh, cooked, no added fat",6.42,27.74,0.63,0.16
"Carrots, frozen, cooked, no added fat",5.1,25.16,0.52,0.3
"Carrots, canned, cooked, no added fat",3.57,16.13,0.41,0.12
"Carrots, fresh, cooked with oil",6.04,43.12,0.59,2.04
"Carrots, fresh, cooked with butter or margarine",6.04,38.75,0.6,1.58
"Carrots, NS as to form, cooked",6.04,40.62,0.59,1.81
"Carrots, fresh, cooked, fat added, NS as to fat type",6.04,40.62,0.59,1.81
"Carrots, frozen, cooked, fat added, NS as to fat type",4.79,38.12,0.49,1.88
"Carrots, canned, cooked, fat added, NS as to fat type",3.36,29.38,0.39,1.71
"Carrots, frozen, cooked with oil",4.79,40.0,0.49,2.1
"Carrots, frozen, cooked with butter or margarine",4.8,35.62,0.5,1.65
"Carrots, canned, cooked with oil",3.36,31.25,0.39,1.94
"Carrots, canned, cooked with butter or margarine",3.37,27.5,0.4,1.49
"Carrots, glazed, cooked",333.6,1800.0,18.0,53.6
"Carrots, canned, reduced sodium, cooked, no added fat",3.46,14.84,0.38,0.09
"Carrots, canned, reduced sodium, cooked, fat added, NS as to fat type",3.26,28.12,0.36,1.68
"Carrots, canned, reduced sodium, cooked with oil",3.25,30.62,0.36,1.91
"Carrots, canned, reduced sodium, cooked with butter or margarine",3.26,26.25,0.37,1.46
Beet juice,19.06,80.65,2.32,0.19
"Carrot juice, 100%",3.87,16.67,0.4,0.06
"Peas and carrots, fresh, cooked, no added fat",7.8,39.38,2.06,0.21
"Peas and carrots, frozen, cooked, no added fat",6.91,36.25,1.86,0.23
"Peas and carrots, canned, cooked, no added fat",5.28,28.75,1.6,0.31
"Peas and carrots, cooked, NS as to form",7.35,51.52,1.95,1.81
"Peas and carrots, fresh, cooked, fat added",7.35,51.52,1.95,1.81
"Peas and carrots, frozen, cooked, fat added",6.51,48.48,1.75,1.76
"Peas and carrots, canned, cooked, fat added",4.98,41.21,1.51,1.84
"Pumpkin, canned, cooked",3.21,22.86,0.44,1.15
"Pumpkin, cooked",2.94,22.61,0.46,1.23
"Winter squash, raw",4.64,18.57,0.71,0.07
"Winter squash, cooked, no added fat",3.92,16.44,0.4,0.16
"Winter squash, cooked, fat added",3.73,25.65,0.38,1.25
"Squash, winter, souffle",7.73,49.68,2.17,1.44
"Sweet potato, NFS",21.02,137.5,1.64,5.36
"Sweet potato, baked, NS as to fat",24.58,153.75,2.4,5.38
"Sweet potato, baked, no added fat",25.79,112.5,2.5,0.19
"Sweet potato, baked, fat added",24.58,153.75,2.4,5.38
"Sweet potato, boiled, NS as to fat",21.02,137.5,1.64,5.36
"Sweet potato, boiled, no added fat",22.06,95.0,1.7,0.18
"Sweet potato, boiled, fat added",21.02,137.5,1.64,5.36
"Sweet potato, candied",83.24,404.44,2.2,7.33
"Sweet potato, canned, NS as to fat",8.02,49.6,0.63,1.74
"Sweet potato, canned, no added fat",8.42,36.4,0.66,0.08
"Sweet potato, canned, fat added",8.02,49.6,0.63,1.74
"Sweet potato, casserole or mashed",6.78,37.6,0.67,0.94
"Sweet potato fries, NFS",749.0,3840.0,45.4,187.8
Sweet potato chips,2827.0,26450.0,146.0,1609.5
"Sweet potato fries, frozen",749.0,3840.0,45.4,187.8
"Sweet potato fries, from fresh",375.2,3260.0,36.4,183.8
"Sweet potato fries, fast food / restaurant",632.6,6100.0,38.4,478.6
"Sweet potato fries, school",749.0,3840.0,45.4,187.8
Sweet potato tots,28.69,146.92,1.74,7.19
"Sweet potato tots, fast food / restaurant",26.82,184.62,1.63,12.0
"Sweet potato tots, school",28.81,147.69,1.75,7.22
"Squash, winter type, soup, home recipe, canned, or ready-to-serve",1.76,15.73,0.2,0.99
"Tomatoes, raw",20.2,100.0,4.1,1.55
"Tomatoes, NS as to form, cooked",4.28,45.45,0.98,3.11
"Tomatoes, fresh, cooked",4.28,45.45,0.98,3.11
"Tomatoes, canned, cooked",2.94,39.09,0.75,2.76
"Tomatoes, scalloped",5.88,45.83,1.12,2.07
"Tomatoes, canned, reduced sodium, cooked",3.06,35.45,0.71,2.55
Fried green tomatoes,62.23,617.14,10.51,36.69
"Tomato, green, pickled",12.28,54.05,1.35,0.24
Sun-dried tomatoes,101.38,469.09,25.65,5.4
"Tomato juice, 100%",1.74,9.27,0.35,0.12
"Tomato juice, 100%, low sodium",1.74,9.27,0.35,0.12
Tomato juice cocktail,1.56,8.87,0.38,0.12
"Tomato and vegetable juice, 100%",1.56,8.87,0.38,0.12
"Tomato and vegetable juice, 100%, low sodium",1.85,8.87,0.24,0.04
Ketchup,159.41,641.18,6.35,1.88
"Ketchup, reduced sodium",161.18,594.12,6.12,0.59
Tomato chili sauce,116.41,541.18,14.71,1.76
"Salsa, NFS",42.12,212.5,9.0,1.19
"Salsa, pico de gallo",1.54,7.08,0.3,0.06
"Salsa, red",42.12,212.5,9.0,1.19
"Salsa, red, homemade",2.88,14.53,0.62,0.08
Taco sauce,4.5,68.75,7.25,4.25
"Enchilada sauce, red",30.44,187.5,3.88,5.69
"Enchilada sauce, green",39.75,237.5,7.06,5.56
"Salsa verde or salsa, green",2.59,15.45,0.46,0.36
Hot Thai sauce,103.62,462.5,6.44,4.12
Spaghetti sauce,3.1,19.62,0.54,0.57
Spaghetti sauce with added vegetables,2.85,17.69,0.59,0.47
"Spaghetti sauce, reduced sodium",3.1,19.62,0.54,0.57
"Spaghetti sauce, fat free",2.04,9.23,0.46,0.12
Vodka sauce with tomatoes and cream,1.32,28.85,0.48,2.55
Barbecue sauce,239.82,1011.76,4.82,3.71
Buffalo sauce,4.69,68.75,7.56,4.44
Steak sauce,129.65,558.82,7.35,1.35
Cocktail sauce,166.0,752.94,8.0,6.18
Puerto Rican seasoning with ham,3.0,110.42,1.67,10.33
Puerto Rican seasoning with ham and tomato sauce,2.19,72.92,2.14,6.24
Puerto Rican seasoning without ham and tomato sauce,2.85,52.5,0.45,4.5
Tomato aspic,2.34,14.54,1.14,0.11
"Tomato and cucumber salad made with tomato, cucumber, oil, and vinegar",4.11,76.1,0.33,6.39
"Tomato soup, NFS",3.16,13.52,0.3,0.09
"Tomato soup, cream of, prepared with milk",4.04,23.79,0.97,0.52
"Tomato soup, prepared with water, or ready-to-serve",3.16,13.52,0.3,0.09
"Tomato soup, instant type, prepared with water",2.71,14.34,0.35,0.23
"Tomato soup, canned, reduced sodium, prepared with water, or ready-to-serve",2.79,13.52,0.34,0.11
"Tomato beef soup, prepared with water",3.46,22.95,0.73,0.7
"Tomato noodle soup, canned, prepared with water or ready-to-serve",4.84,23.77,0.68,0.27
"Tomato vegetable soup, prepared with water",3.2,13.69,0.31,0.09
"Tomato vegetable soup with noodles, prepared with water",2.03,11.62,0.36,0.33
Tomato sandwich on white,22.09,168.33,7.1,5.73
Tomato sandwich on wheat,20.53,166.67,7.91,5.89
"Raw vegetable, NFS",4.76,24.17,1.04,0.22
"Sprouts, NFS",10.61,53.57,5.43,0.32
"Alfalfa sprouts, raw",6.36,69.7,12.09,2.09
"Artichoke, raw",7.97,35.33,1.93,0.23
"Asparagus, raw",97.0,500.0,55.0,3.0
"Bean sprouts, raw",6.6,33.33,3.38,0.2
"Green beans, raw",6.97,31.0,1.83,0.22
"Beets, raw",7.08,31.85,1.19,0.13
"Broccoflower, raw",9.52,48.44,4.61,0.47
"Brussels sprouts, raw",9.94,47.78,3.76,0.33
"Cabbage, green, raw",6.44,27.78,1.42,0.11
"Cabbage, Chinese, raw",2.42,14.44,1.67,0.22
"Cabbage, red, raw",8.19,34.44,1.59,0.18
"Cactus, raw",2.22,10.67,0.88,0.06
"Cauliflower, raw",38.23,192.31,14.77,2.15
"Celery, raw",74.25,350.0,17.25,4.25
"Fennel bulb, raw",3.11,13.19,0.53,0.09
"Basil, raw",530.0,4600.0,630.0,128.0
"Chives, raw",145.0,1000.0,109.0,24.33
"Cilantro, raw",22.94,143.75,13.31,3.25
"Corn, raw",12.47,57.33,2.18,0.9
"Cucumber, raw",36.3,150.0,6.5,1.1
"Eggplant, raw",1.18,5.0,0.2,0.04
"Garlic, raw",940.0,4766.67,220.67,12.67
"Jicama, raw",147.0,633.33,12.0,1.5
"Kohlrabi, raw",4.59,20.0,1.26,0.07
"Lettuce, raw",36.5,175.0,14.12,1.75
"Lettuce, Boston, raw",28.25,162.5,16.62,2.75
"Lettuce, arugula, raw",182.5,1250.0,129.0,33.0
"Mixed salad greens, raw",7.51,48.57,4.6,0.8
"Mushrooms, raw",68.83,516.67,48.33,5.83
"Onions, green, raw",48.93,213.33,12.2,1.27
"Onions, raw",56.4,253.33,5.73,0.53
"Parsley, raw",10.55,60.0,4.95,1.32
"Green peas, raw",9.97,55.86,3.74,0.28
"Pepper, hot chili, raw",153.2,680.0,27.8,8.0
"Pepper, raw, NFS",51.3,220.0,9.1,2.2
"Pepper, sweet, green, raw",46.4,200.0,8.6,1.7
"Pepper, sweet, red, raw",60.3,260.0,9.9,3.0
"Pepper, banana, raw",11.89,60.0,3.69,1.0
"Radish, raw",340.0,1600.0,68.0,10.0
"Rutabaga, raw",2.24,9.61,0.28,0.04
"Seaweed, raw",9.93,51.25,4.39,0.61
"Snowpeas, raw",11.62,64.62,4.31,0.31
"Summer squash, yellow, raw",38.8,190.0,10.1,2.7
"Summer squash, green, raw",31.1,170.0,12.1,3.2
"Turnip, raw",42.87,186.67,6.0,0.67
Mixed vegetable juice,2.49,10.98,0.33,0.07
Celery juice,1.26,5.93,0.29,0.07
"Broccoli salad with cauliflower, cheese, bacon bits, and dressing",6.74,175.32,3.79,14.82
Broccoli slaw salad,5.56,65.59,1.06,4.35
"Coleslaw, fast food / restaurant",5.61,72.27,0.4,5.35
Coleslaw,4.55,51.36,0.52,3.59
"Cabbage salad, NFS",3.86,18.64,0.45,0.32
"Coleslaw, with fruit",6.05,49.55,0.49,2.85
Cucumber and vegetable namasu,8.08,35.48,0.31,0.08
"Cucumber salad, made with sour cream dressing",2.95,49.62,0.86,4.14
"Cucumber salad, made with Italian dressing",4.12,74.84,0.3,6.25
Cucumber salad made with cucumber and vinegar,4.53,21.38,0.33,0.06
"Lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing",5.63,28.77,1.71,0.32
"Lettuce, salad with assorted vegetables excluding tomatoes and carrots, no dressing",4.91,27.03,1.89,0.31
"Lettuce, salad with avocado, tomato, and/or carrots, with or without other vegetables, no dressing",5.86,59.77,1.64,3.93
"Lettuce, salad with cheese, tomato and/or carrots, with or without other vegetables, no dressing",4.96,115.58,6.61,7.92
"Lettuce, salad with egg, tomato, and/or carrots, with or without other vegetables, no dressing",3.99,54.55,4.02,2.65
"Lettuce, salad with egg, cheese, tomato, and/or carrots, with or without other vegetables, no dressing",1.44,29.24,1.85,1.85
"Lettuce, wilted, with bacon dressing",1.98,62.4,2.39,5.04
"Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",4.76,190.76,4.0,17.42
"Greek Salad, no dressing",3.66,41.9,2.5,2.04
"Spinach salad, no dressing",2.82,113.51,9.49,6.85
"Cobb salad, no dressing",2.36,87.62,10.82,4.13
Aloe vera juice drink,2.93,11.72,0.0,0.0
"Artichoke, fresh, cooked, no added fat",39.7,176.67,9.6,1.13
"Artichoke, canned, cooked, no added fat",39.7,176.67,9.6,1.13
"Artichokes, NS as to form, cooked",38.57,246.67,9.37,9.6
"Asparagus, fresh, cooked, no added fat",104.0,525.0,59.0,3.25
"Asparagus, frozen, cooked, no added fat",47.75,450.0,73.5,10.5
"Asparagus, canned, cooked, no added fat",15.38,118.75,13.38,4.06
"Asparagus, NS as to form, cooked",101.0,1125.0,57.5,71.5
"Asparagus, fresh, cooked, fat added, NS as to fat type",101.0,1125.0,57.5,71.5
"Asparagus, frozen, cooked, fat added, NS as to fat type",46.5,1000.0,71.5,73.75
"Asparagus, canned, cooked, fat added, NS as to fat type",14.94,256.25,13.06,19.88
"Asparagus, fresh, cooked with oil",101.0,1225.0,57.25,81.25
"Asparagus, fresh, cooked with butter or margarine",101.25,1050.0,57.75,62.0
"Asparagus, frozen, cooked with oil",46.5,1100.0,71.5,82.75
"Asparagus, frozen, cooked with butter or margarine",46.75,925.0,71.75,64.75
"Asparagus, canned, cooked with oil",14.94,281.25,13.0,22.12
"Asparagus, canned, cooked with butter or margarine",15.0,237.5,13.06,17.62
"Bamboo shoots, cooked",2.02,26.45,1.08,1.9
"Lima beans, from frozen, no added fat",10.7,57.22,3.36,0.19
"Lima beans, from frozen, fat added",10.11,66.49,3.18,1.56
"Lima beans, from canned",10.06,65.95,3.17,1.55
"Green beans, cooked, from restaurant",4.75,48.28,1.26,3.13
"Green beans, fresh, cooked, no added fat",5.17,22.86,1.36,0.16
"Green beans, frozen, cooked, no added fat",4.59,20.0,1.06,0.12
"Green beans, canned, cooked, no added fat",2.94,17.14,0.74,0.28
"Green beans, NS as to form, cooked",3.81,35.17,0.99,2.0
"Green beans, fresh, cooked, fat added, NS as to fat type",4.85,37.93,1.28,1.98
"Green beans, frozen, cooked, fat added, NS as to fat type",4.31,34.48,1.0,1.87
"Green beans, canned, cooked, fat added, NS as to fat type",2.76,31.72,0.7,2.02
"Green beans, fresh, cooked with oil",4.85,40.0,1.27,2.24
"Green beans, fresh, cooked with butter or margarine",4.86,35.86,1.28,1.72
"Green beans, frozen, cooked with oil",4.3,36.55,0.99,2.12
"Green beans, frozen, cooked with butter or margarine",4.32,32.41,1.01,1.62
"Green beans, canned, cooked with oil",2.75,34.48,0.7,2.27
"Green beans, canned, cooked with butter or margarine",2.76,29.66,0.71,1.77
"Green beans, canned, reduced sodium, cooked, no added fat",3.09,15.71,0.8,0.33
"Green beans, canned, reduced sodium, cooked, fat added, NS as to fat type",2.9,30.34,0.76,2.07
"Green beans, canned, reduced sodium, cooked with oil",2.89,33.1,0.75,2.32
"Green beans, canned, reduced sodium, cooked with butter or margarine",2.9,28.28,0.76,1.82
Fried green beans,15.65,151.72,2.74,8.86
"Yellow string beans, cooked",4.31,34.48,1.0,1.87
"Bean sprouts, cooked",5.29,100.87,8.52,6.03
"Beets, fresh, cooked, no added fat",99.3,450.0,16.7,1.8
"Beets, canned, cooked, no added fat",72.1,310.0,9.1,1.4
"Beets, NS as to form, cooked",70.0,530.0,8.9,26.9
"Beets, fresh, cooked, fat added",96.5,670.0,16.3,28.2
"Beets, canned, cooked, fat added",70.0,530.0,8.9,26.9
"Beets, canned, reduced sodium, cooked",67.9,530.0,8.4,27.9
"Bitter melon, cooked",3.22,31.54,0.63,2.09
"Breadfruit, cooked",75.03,351.43,2.97,7.91
"Broccoflower, cooked",6.83,61.11,3.31,3.29
"Brussels sprouts, fresh, cooked, no added fat",6.0,29.03,2.26,0.2
"Brussels sprouts, frozen, cooked, no added fat",5.35,27.1,2.34,0.25
"Brussels sprouts, NS as to form, cooked",5.64,41.88,2.14,1.85
"Brussels sprouts, fresh, cooked, fat added",5.64,41.88,2.14,1.85
"Brussels sprouts, frozen, cooked, fat added",5.04,40.0,2.21,1.82
"Burdock, cooked",13.89,76.92,1.23,2.22
"Cabbage, Chinese, cooked, no added fat",1.33,8.24,0.92,0.12
"Cabbage, Chinese, cooked, fat added",1.26,21.14,0.87,1.63
"Cabbage, green, cooked, no added fat",4.01,17.33,0.89,0.07
"Cabbage, green, cooked, fat added, NS as to fat type",3.77,31.61,0.84,1.77
"Cabbage, green, cooked with oil",3.77,33.55,0.83,2.02
"Cabbage, green, cooked with butter or margarine",3.78,29.68,0.85,1.54
"Cabbage, red, cooked",4.8,35.48,0.94,1.81
"Cabbage, savoy, cooked",3.97,32.9,1.3,1.77
"Cactus, cooked, no added fat",2.21,10.67,0.88,0.06
"Cactus, cooked, fat added",2.08,24.52,0.83,1.7
"Cauliflower, fresh, cooked, no added fat",39.69,200.0,15.31,2.23
"Cauliflower, frozen, cooked, no added fat",2.02,10.27,0.86,0.12
"Cauliflower, NS as to form, cooked",38.62,376.92,14.92,22.54
"Cauliflower, fresh, cooked, fat added, NS as to fat type",38.62,376.92,14.92,22.54
"Cauliflower, frozen, cooked, fat added, NS as to fat type",1.92,21.58,0.83,1.45
"Cauliflower, fresh, cooked with oil",38.54,400.0,14.92,25.46
"Cauliflower, fresh, cooked with butter or margarine",38.62,353.85,15.0,19.69
"Cauliflower, frozen, cooked with oil",1.91,23.68,0.82,1.64
"Cauliflower, frozen, cooked with butter or margarine",1.92,20.0,0.83,1.26
"Celery, cooked",7.38,92.86,1.74,6.95
"Fennel bulb, cooked",3.82,28.44,0.65,1.48
"Christophine, cooked",2.85,26.67,0.52,1.74
"Corn, cooked, from restaurant",10.43,70.0,1.83,3.19
"Corn, fresh, cooked, no added fat",11.3,52.12,1.98,0.82
"Corn, frozen, cooked, no added fat",11.66,49.09,1.54,0.41
"Corn, canned, cooked, no added fat",8.69,40.61,1.39,0.74
"Corn, NS as to form, cooked",8.19,51.76,1.31,2.2
"Corn, fresh, cooked, fat added, NS as to fat type",10.65,62.35,1.86,2.26
"Corn, frozen, cooked, fat added, NS as to fat type",10.99,59.41,1.46,1.88
"Corn, canned, cooked, fat added, NS as to fat type",8.19,51.76,1.31,2.2
"Corn, fresh, cooked with oil",10.65,64.12,1.86,2.48
"Corn, fresh, cooked with butter or margarine",10.65,60.59,1.87,2.06
"Corn, frozen, cooked with oil",10.99,61.76,1.45,2.09
"Corn, frozen, cooked with butter or margarine",10.99,57.65,1.46,1.67
"Corn, canned, cooked with oil",8.19,53.53,1.31,2.41
"Corn, canned, cooked with butter or margarine",8.19,50.0,1.32,1.99
"Corn, creamed",7.25,28.8,0.7,0.17
"Corn, canned, reduced sodium, cooked, no added fat",9.03,40.0,1.27,0.5
"Corn, canned, reduced sodium, cooked, fat added, NS as to fat type",8.52,51.76,1.2,2.09
"Corn, canned, reduced sodium, cooked with oil",8.51,54.12,1.2,2.32
"Corn, canned, reduced sodium, cooked with butter or margarine",8.52,50.0,1.21,1.86
"Cucumber, cooked",2.24,23.78,0.41,1.69
"Eggplant, cooked, no added fat",11.45,49.09,1.91,0.35
"Eggplant, cooked, fat added",11.15,92.73,1.87,5.31
"Flowers or blossoms of sesbania, squash, or lily, cooked",2.94,33.94,0.97,2.4
"Garlic, cooked",934.33,4733.33,219.33,12.67
"Hominy, cooked",8.12,51.76,0.85,1.71
"Kohlrabi, cooked",3.68,30.0,1.01,1.62
"Leek, cooked",17.34,103.53,1.85,3.59
"Lotus root, cooked",12.41,69.6,1.23,2.09
"Mushrooms, fresh, cooked, no added fat",85.83,650.0,60.17,7.17
"Mushrooms, NS as to form, cooked",83.33,1100.0,58.67,60.0
"Mushrooms, fresh, cooked, fat added, NS as to fat type",83.33,1100.0,58.67,60.0
"Mushrooms, canned, cooked",82.5,783.33,30.33,47.33
"Mushrooms, fresh, cooked with oil",83.33,1166.67,58.33,67.5
"Mushrooms, fresh, cooked with butter or margarine",83.5,1033.33,58.67,52.67
"Mushroom, Asian, cooked, from dried",5.62,30.34,1.66,0.14
"Okra, fresh, cooked, no added fat",4.99,21.88,1.29,0.12
"Okra, frozen, cooked, no added fat",127.8,580.0,32.4,4.8
"Okra, NS as to form, cooked",77.6,590.0,20.2,29.4
"Okra, fresh, cooked, fat added",77.6,590.0,20.2,29.4
"Okra, frozen, cooked, fat added",124.2,1020.0,31.8,55.6
"Lettuce, cooked",3.87,50.0,1.51,3.67
"Onions, cooked, no added fat",5.22,22.38,0.61,0.06
"Onions, cooked, fat added",4.95,33.95,0.59,1.45
"Onions, pearl, cooked",3.51,27.03,0.38,1.4
"Onions, green, cooked",3.72,28.0,0.93,1.43
"Palm hearts, cooked",17.1,92.41,1.81,1.89
"Parsnips, cooked",10.29,57.5,0.81,1.78
"Blackeyed peas, from frozen",12.44,81.62,4.45,1.72
"Blackeyed peas, from canned",12.38,81.08,4.43,1.71
"Green peas, cooked, from restaurant",8.65,72.12,3.25,2.86
"Green peas, fresh, cooked, no added fat",9.38,52.5,3.52,0.26
"Green peas, frozen, cooked, no added fat",8.89,48.75,3.21,0.17
"Green peas, canned, cooked, no added fat",7.1,42.5,2.79,0.5
"Green peas, NS as to form, cooked",8.37,59.39,3.02,1.7
"Green peas, fresh, cooked, fat added, NS as to fat type",8.84,64.24,3.32,1.85
"Green peas, frozen, cooked, fat added, NS as to fat type",8.37,59.39,3.02,1.7
"Green peas, canned, cooked, fat added, NS as to fat type",6.68,53.94,2.64,2.02
"Green peas, fresh, cooked with oil",8.83,66.06,3.31,2.08
"Green peas, fresh, cooked with butter or margarine",8.84,61.82,3.32,1.62
"Green peas, frozen, cooked with oil",8.36,61.82,3.02,1.92
"Green peas, frozen, cooked with butter or margarine",8.38,57.58,3.03,1.48
"Green peas, canned, cooked with oil",6.68,55.76,2.63,2.24
"Green peas, canned, cooked with butter or margarine",6.69,52.12,2.64,1.8
"Green peas, canned, reduced sodium, cooked, no added fat",7.62,41.25,2.49,0.24
"Green peas, canned, reduced sodium, cooked, fat added, NS as to fat type",7.18,56.36,2.35,2.16
"Green peas, canned, reduced sodium, cooked with oil",7.17,58.79,2.35,2.42
"Green peas, canned, reduced sodium, cooked with butter or margarine",7.18,53.94,2.36,1.88
"Peppers, green, cooked",46.8,440.0,8.8,28.2
"Peppers, red, cooked",60.9,500.0,10.1,29.6
"Hot peppers, cooked",51.47,393.33,9.4,20.4
Pimiento,3.25,14.58,0.7,0.19
"Daikon radish, cooked",2.13,24.52,0.43,1.7
"Rutabaga, cooked",5.13,36.0,0.65,1.66
